track_genre,avg_danceability,avg_energy,avg_valence,avg_tempo,avg_loudness,avg_popularity,track_count
reggae,0.745,0.726,0.648,119.87,-5.292,20.63,1000
breakbeat,0.646,0.853,0.475,133.03,-6.034,20.12,1000
tango,0.538,0.373,0.584,114.55,-10.062,19.87,1000
soul,0.6,0.534,0.523,114.63,-8.285,19.8,1000
rock,0.544,0.679,0.539,126.32,-6.664,19.0,1000
country,0.555,0.597,0.521,123.96,-7.282,17.03,1000
honky-tonk,0.571,0.367,0.632,116.56,-11.762,16.36,1000
idm,0.528,0.555,0.303,123.3,-12.409,15.77,1000
kids,0.779,0.613,0.681,121.75,-8.119,14.89,1000
grindcore,0.272,0.924,0.216,119.23,-6.238,14.63,1000
jazz,0.51,0.353,0.491,112.75,-11.58,13.58,999
classical,0.382,0.19,0.381,107.95,-20.145,13.06,1000
chicago-house,0.766,0.733,0.587,123.92,-9.149,12.34,1000
detroit-techno,0.723,0.711,0.469,126.59,-11.086,11.17,1000
latin,0.722,0.727,0.631,119.81,-5.264,8.3,1000
romance,0.433,0.294,0.394,109.8,-13.198,3.22,999
iranian,0.302,0.547,0.154,115.23,-13.036,2.22,996
